4883;Support activities for water transportation;Transportation related labor force;Transportation and warehousing;Support activities for transportation;Support activities for water transportation;;;;;;;90.6;96.4;88.6;85.8;89.2;92;89.8;92.3;93.9;95.5;96.7;94.5;95.2;93.8;91.5;93.9;99.3;100.1;98.6;91.3;90.6;90.6;92.2;94.5;97.9;97.6;91.8;91.8;94.8;93.5;86.7;89.8;96.1
4884;Support activities for road transportation;Transportation related labor force;Transportation and warehousing;Support activities for transportation;Support activities for road transportation;;;;;;;34.6;36.2;37.6;41;44.8;49;53.3;57.1;59.8;63.3;65.8;69.1;70.4;72.1;76.2;79;81.4;83.5;85.2;81.6;80.1;81;86.1;88.2;93;95.4;99.5;101.7;103.9;106.4;103;108.3;114.3
4885;Freight transportation arrangement;Transportation related labor force;Transportation and warehousing;Support activities for transportation;Freight transportation arrangement;;;;;;;111;115;114.1;119.6;130.4;142.6;149.3;160.9;166.4;172;177.6;179.1;168.1;166.9;170.7;176.6;180.2;183.9;187.1;174;169.2;179.6;183.8;190.3;196.8;205.6;211.9;217.1;229.2;241.1;232.9;243.4;268.1
 4889, 4882;Support activities for other transportation, including rail;Transportation related labor force;Transportation and warehousing;Support activities for transportation;    Support activities for other transportation, including rail;;;;;;;34.8;36.4;38.2;41.5;45.1;48.6;51.1;55.6;60.6;62.8;65.3;66.1;62.4;61.9;65.4;65.2;63.8;64.5;64.2;58.4;58.8;62.6;66.2;67.5;72.5;78.1;75.4;78;79.2;80.2;74.8;77.2;82.3
4921;Couriers and express delivery services;Transportation related labor force;Transportation and warehousing;Couriers and messengers;Couriers and express delivery services;;;;;;;340;344.2;353.9;377.9;423.1;468.6;489.2;493.8;513.1;528.4;546.2;530.1;507.3;510.2;506.7;521.9;532.6;530.9;523.1;499;480.2;477.4;479.8;487.6;517.3;551.3;576.1;598;646.9;711.3;814.6;910.9;941.2
49111, 49221;Local messengers, local delivery, and private postal service;Transportation related labor force;Transportation and warehousing;Couriers and messengers;Local messengers, local delivery, and private postal service;;;;;;;35;34.8;35;36.4;43.1;48.2;50.7;52.2;55.1;57.5;58.9;56.9;53.6;51.4;49.9;49.5;49.7;49.8;50.3;47.3;48;51.8;54.4;56.3;59.2;61.5;68.7;78.2;92.6;115.6;152.7;178.6;187.8
493;Warehousing and storage;Transportation related labor force;Transportation and warehousing;Warehousing and storage;;;;;;;;409.4;405.9;408.3;416.1;433.8;446.6;454.6;464.4;477.2;497.2;517.5;516.9;519.9;531.9;562;598.9;642.5;669.8;676.9;641.7;638.1;657.9;691.9;716;754.8;834.3;931.6;1027.3;1138.8;1228.7;1405.4;1700.5;1936.8
324;Petroleum and coal products manufacturing;Transportation related labor force;Transportation related manufacturing;Petroleum and coal products manufacturing;;;;;;;;152.8;154.8;152.3;146.2;144;140.4;137.3;136;134.5;127.8;123.2;121.1;118.1;114.3;111.7;112.1;113.2;114.5;117.4;115.3;113.9;111.8;112.1;110.4;111.6;112.9;112.5;114.6;115.2;114.3;107.6;105.1;105.2
32621;Tire manufacturing;Transportation related labor force;Transportation related manufacturing;Tire manufacturing;;;;;;;;90.3;86.2;86.7;87.2;84.6;86.5;86.2;84.4;87.1;86.6;86.8;81.9;75.9;71.7;69.6;67;59.8;59.1;59.4;53;52.4;53.1;54;53.1;53.6;53.9;54.5;55.9;56.9;56.9;56.2;56.1;58.5
32622;Rubber and plastic hoses and belting manufacturing;Transportation related labor force;Transportation related manufacturing;Rubber and plastic hoses and belting manufacturing;;;;;28.5;30.7;25.8;24.9;23.4;23.3;23.7;25.5;27.4;27.4;27.8;29;30;30.3;29.2;27.5;28.1;28;28.6;28.3;27.8;26.8;;;;;;;;;;;;;;
334511;Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing;Transportation related labor force;Transportation related manufacturing;Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing;;;;;;;354;280.1;256.2;225.6;201.1;175.4;158.2;157.9;158.7;162.5;161.4;149.4;149.8;148.1;145;150.5;156.6;157.7;157.6;153.3;152.2;146;138.7;133.9;127.8;122.3;123.2;120.9;121.1;126;133.1;134.9;131.7;128.3
3361;Motor vehicle manufacturing;Transportation related labor force;Transportation related manufacturing;Transportation equipment manufacturing;Motor vehicle manufacturing;;;;;;;271.4;258.4;259.9;263.7;281.5;294.7;285.3;286.8;283.6;291.3;291.4;278.7;265.4;264.6;255.9;247.6;236.5;220;191.6;146.4;152.6;157.9;167.6;181.5;194;200.8;211.8;218.9;233.6;237.1;206.3;253.8;291.2
3362;Motor vehicle body and trailer manufacturing;Transportation related labor force;Transportation related manufacturing;Transportation equipment manufacturing;Motor vehicle body and trailer manufacturing;;;;;;;129.8;120.3;126;136.3;151.4;159.9;155.1;158.2;169.7;184.2;182.7;159.4;152.2;153;164.8;171;178.8;166.4;140.2;104.1;107.1;114.3;127;134.6;141.1;148;151.3;155.3;165.1;162.3;150.9;164.4;169.6
3363;Motor vehicle parts manufacturing;Transportation related labor force;Transportation related manufacturing;Transportation equipment manufacturing;Motor vehicle parts manufacturing;;;;;;;653;638.9;661.2;677.8;735.6;786.9;799.9;808.9;818.2;837.1;839.5;774.7;733.6;707.8;692.1;678.1;654.7;607.9;543.7;413.7;418.9;445.5;482.8;508.7;537;564.9;581.2;589.2;599.7;594.1;530.3;541.8;553
3364;Aerospace product and parts manufacturing;Transportation related labor force;Transportation related manufacturing;Transportation equipment manufacturing;Aerospace product and parts manufacturing;;;;;;;840.7;784;710.5;624;552.1;514.4;514.2;554.9;578.6;547.1;516.7;510.9;470.3;442.1;441.5;455.1;474.1;489.2;506.5;492.2;477.7;486.6;498.6;495.3;490.5;490.1;490.4;488.1;508.4;534.5;507;480.5;500.9
3366;Ship and boat building;Transportation related labor force;Transportation related manufacturing;Transportation equipment manufacturing;Ship and boat building;130.1;147.5;158.3;178.8;203.1;171.9;173.7;164.9;157.8;147.7;146.5;147.6;146.7;146.2;153.8;153.9;154.1;148.2;147.3;147.1;149.3;154.4;157.3;160;155.8;130.6;124.6;122.5;128.9;131.8;137.1;138.3;135.5;134.5;138.7;142.5;139.8;147.5;150.4
3365, 3369;Railroad rolling stock manufacturing and other transportation equipment manufacturing;Transportation related labor force;Transportation related manufacturing;Transportation equipment manufacturing;Railroad rolling stock manufacturing and other transportation equipment manufacturing;;;;;;;65.9;62.9;62.8;65.5;70.3;75;73.9;72.5;74.5;75;72.7;67;61.3;60.7;63.2;66;67.6;68.5;70.2;61;52.3;54.7;56.4;56.9;59.4;62.8;60.1;57.3;56.8;58.8;56.6;57.4;60.7
2373;Highway, street, and bridge construction;Transportation related labor force;Other transportation related industries;Highway, street, and bridge construction;;;;;;;;288.5;266.5;263.9;270.9;273.5;278.1;287.5;294.2;308;336.3;340.1;345.8;345.9;340.1;347;350.8;348.3;344.5;327.3;291.3;287;286.3;294.4;292.7;294.4;309.7;319.3;327.7;341.2;348.6;346;342.1;353.5
4231;Motor vehicle and motor vehicle parts and supplies merchant wholesalers;Transportation related labor force;Other transportation related industries;Motor vehicle and motor vehicle parts and supplies merchant wholesalers;;;;;;;;313.8;308.3;306.7;310.2;324.4;339.2;347.2;355;358.6;364.6;360.8;352.3;350.9;347.9;347;350.9;355.4;357.1;345.8;322;316.6;320.8;328.1;333.1;336.7;338;340.7;346.1;351.6;360.8;344.5;347.8;364.1
42386;Transportation equipment and supplies merchant wholesalerse;Transportation related labor force;Other transportation related industries;Transportation equipment and supplies merchant wholesalerse;;;;;;;;35.8;35.6;34.6;32;32.1;33.1;34.2;36.3;38.5;41;40.6;37;35.3;33.6;34.1;34.4;35.4;36.3;36.6;35.5;34.5;34.7;35.4;35.4;35.8;35.5;34.4;34.3;33.6;35.4;33.3;32.3;34.6
4247;Petroleum and petroleum products merchant wholesalers;Transportation related labor force;Other transportation related industries;Petroleum and petroleum products merchant wholesalers;;;;;;;;157.9;149.9;139.8;132.1;130.9;129.1;126.7;126.3;125.2;125.9;121.9;117.7;114.2;109.4;105;104.7;105.2;105.9;105.3;101.4;98.9;97.9;99.4;100.6;104.9;103.1;101.7;101.1;102.2;104.1;100;98.3;99
4411;Automobile dealers;Transportation related labor force;Other transportation related industries;Motor vehicle parts dealers;Automobile dealers;;;;769.1;783.2;904.2;983.3;938.3;934.8;970.4;1031.8;1071.6;1113;1134.5;1142;1179.7;1216.5;1225.1;1252.8;1254.4;1257.3;1261.4;1246.7;1242.2;1176.7;1018.2;1011.5;1056.9;1095.5;1138.4;1187.9;1238.7;1279;1293.3;1296.6;1300.3;1202.7;1228.8;1253.3
4412;Other motor vehicle dealers;Transportation related labor force;Other transportation related industries;Motor vehicle parts dealers;Other motor vehicle dealers;;;;;;;93.5;84.9;81.4;83.9;91.4;98;102.4;106.3;111.3;122.2;133;137.5;142.5;149.9;159.5;167.5;170.3;172.7;163.6;136.9;129.7;128.7;131;135.1;141.5;147.1;152.2;157.7;161.5;164.2;152.2;170.9;175.9
4413;Automotive parts, accessories, and tire stores;Transportation related labor force;Other transportation related industries;Motor vehicle parts dealers;Automotive parts, accessories, and tire stores;;;;;;;421.4;415.6;415.7;424.9;445.7;461.9;474.7;487.2;492.4;499.9;502.9;497.1;488.8;483.2;490.2;494.6;497.6;498.4;496;487.1;493;510.8;516.1;525.5;539.2;550;555.7;561.3;564.9;569.6;550.1;558;579.2
457;Gasoline stations and fuel dealers;Transportation related labor force;Other transportation related industries;Gasoline stations and fuel dealers;;;;;;;;1032.2;1005.2;989.4;991.7;1013.1;1033.9;1056.5;1064.8;1067.7;1050.5;1041.5;1030.9;997.9;983.5;973.5;964.8;954.7;949.5;927;907.9;900.7;911.2;919.5;940.7;956.1;980.2;997.3;1003.1;1003.8;1019.6;998.9;1006.9;1037.7
5321;Automotive equipment rental and leasing;Transportation related labor force;Other transportation related industries;Automotive equipment rental and leasing;;;;;;;142.3;163.2;152.1;151.1;155.7;162.7;170.6;179.8;184.1;188.5;198.6;208.3;207.6;195.2;192.6;196.5;198.5;198.5;195.7;192.5;168;160.5;165.2;172.9;178.7;189.1;201;206.6;212.5;217.8;227.1;188.6;183.8;197.1
5615;Travel arrangement and reservation services;Transportation related labor force;Other transportation related industries;Travel arrangement and reservation services;;;;;;;;250;240.2;245.2;255.7;271.2;280.8;294.3;302;304.3;297;298.6;285.2;252.2;235.4;226.4;223.7;225.7;227.2;222.5;193.8;185.6;190.4;191.6;194.5;196.4;205.1;217.1;218.4;219.9;218.8;165.1;143.4;171
6219;Other ambulatory health care services;Transportation related labor force;Other transportation related industries;Other ambulatory health care services;;;;;;;;98.5;107;114;124.5;135.4;143;154;164.1;170.5;172.9;173.1;180.3;186.7;195;199.9;205.9;216.5;228.2;237.9;246;250.6;258.3;266.5;272;278.1;286.9;292.2;305.4;307.8;312.4;304.8;313.5;324.7
8111;Automotive repair and maintenance;Transportation related labor force;Other transportation related industries;Automotive repair and maintenance;;;;;;;;659.4;636.4;636.3;669.9;701.3;737.9;781.4;810.5;828.3;864.2;888.1;903.9;899.6;894.2;890.6;886.1;886.7;884.6;856.3;805.8;801.1;819.6;832.1;847.5;867.8;896.3;913.9;925.7;934.2;947.1;898.3;939;978.6
81293;Parking lots and garages;Transportation related labor force;Other transportation related industries;Parking lots and garages;;;;;;;;67.6;68.5;68;70.2;71.1;74.8;78.4;81.8;84.7;88.9;92.8;95.5;95.9;99.6;101.8;103.4;107.6;111;114.2;110.9;111;115.2;119.9;124.6;128.8;136.6;139.9;140.8;145.7;145;94.9;96.8;115
912001;Postal service;Transportation related labor force;Postal service;;;590.7;618.5;741.1;699;672.7;749.6;825.1;813.2;800;793.2;820.6;849.9;867.2;866;880.5;889.7;879.7;873;842.4;808.6;782.1;774.2;769.7;769.1;747.4;703.4;658.5;630.9;611.2;594.9;593;596.9;608.8;615.4;608.5;607.2;602.3;606;602.5
Gov1;U.S. DOT;Transportation related labor force;Government employment, total;U.S. DOT;;;;104;112;111.791;99.993;104.304;108.275;109.982;108.777;102.633;101;99.21;98.242;69.21;65.399;57.753;59.667;64.994;58.951;57.342;55.746;54.006;54.383;55.589;57.793;58.249;57.926;57.331;55.459;54.936;54.808;55.253;54.846;54.244;57.331;54.545;53.894;53.894
Gov2;State and Local;Transportation related labor force;Government employment, total;State and Local;;532;650.435;691.238;718.553;734.439;752.202;798.29;796.265;773.655;782.964;797.779;798.386;784.701;771.016;772.492;797.066;809.28;824.336;832.318;835.029;830.454;832.534;831.154;835.468;839.203;840.696;818.222;796.162;832.534;781.416;788.345;790.027;796.331;798.495;810.545;814.179;816.842;795.059;792.882
